Binary Obfuscation (branch function, high overhead);nr_indirect_edges_CFIM_static;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);nr_ins_static;-2.0750322889328784E-16,7.670452238712189E-14,5.3120243923246666E-11,7.301693630257754E-9,-5.587527555399254E-9,1.0579922181379554E-21,-2.189837692904271E-21,-1.3270499098975548E-22,-8.755771858293923E-27,-2.717622353278295E-13,-8.16138991622262E-11,-1.5552202126275193E-8,1.7703057677176826E-8,-9.967136460317345E-14,-6.507041885084086E-12,-2.9549457817090795E-10,-5.557879798371527E-9,-1.2780544520610246E-13,-1.7364655453799003E-10,-1.5160753229215285E-7,-5.593889330912649E-9,2.947457173770897E-13,2.9517960145798326E-10,1.681516545977771E-7,-5.06788726233737E-9,2.4343766928380583E-13,4.981778334887737E-10,1.1173355110344175E-7,1.7647897021909404E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);nr_src_oper_static;8.564811426893166E-16,1.0771205180629617E-12,4.6540472723168524E-10,3.824847822316078E-8,-5.65306099805827E-9,6.118075263062681E-22,1.6950858813348343E-20,-3.7887119009661393E-22,-1.7320535925922333E-26,-1.6491301905136964E-12,-5.520208464379698E-10,-1.0894999543623225E-7,2.1022533472814416E-8,-6.70080848944255E-13,-4.6899970422755865E-11,-2.2164236436981593E-9,-4.834902980543421E-8,-2.809732400857969E-13,-1.1221118874848394E-9,-1.097623704422561E-6,-5.062970860606115E-9,2.5921693141990684E-12,2.1424532981091123E-9,1.1542019152559549E-6,-5.450337789205946E-9,3.4024280466829607E-12,4.267509365599631E-9,1.0860665669844273E-7,1.7516008187178067E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);halstead_program_size_static;-6.84636446661225E-16,2.4936385880822494E-13,1.7309281339284897E-10,2.3352926193406613E-8,-1.7872343593679056E-8,2.016137073261637E-21,-6.666295005533114E-21,-3.2952415999935907E-22,-9.704500230513715E-26,-8.928222658294019E-13,-2.6805886812045264E-10,-5.107955183608279E-8,5.539163482537121E-8,-3.2734126939413683E-13,-2.1367746029037998E-11,-9.70340354114886E-10,-1.8255779244314048E-8,-4.2183595079685143E-13,-5.715076375537834E-10,-4.984403150706807E-7,-1.725851093102842E-8,9.652896186963684E-13,9.67516781027035E-10,5.512332534388098E-7,-1.564061097043129E-8,7.924401878399647E-13,1.622682693258376E-9,3.4764104090470707E-7,5.503342746488273E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);cyclomatic_complexity_static;4.323879301639524E-16,-1.2064928361614215E-13,-8.584823404712409E-11,-6.800127360084524E-9,-6.740951214039589E-10,-2.6673041807771485E-21,8.349385138915437E-21,2.92242090472642E-22,2.9584131138881395E-26,5.224157830298668E-13,1.5612321644043746E-10,2.974277540847037E-8,2.77363692504116E-9,1.9034423530622674E-13,1.2396292760663487E-11,5.63017544756467E-10,1.0659167211543474E-8,2.6804832686631303E-13,3.454860437091866E-10,2.9553913260665097E-7,-6.983142963034258E-10,-5.317617320744092E-13,-5.418081950268719E-10,-3.095711317919656E-7,-2.8838064725134375E-10,-3.840825249921159E-13,-7.9785369274325E-10,6.659069474668521E-9,1.8739139037786055E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);nr_edges_static;1.2581660008816826E-15,-3.4719604657664126E-13,-2.4767641187681744E-10,-1.9061793799028367E-8,-2.756276012606812E-9,-3.4098864954166106E-21,3.087417694111195E-20,8.573216295083182E-22,-3.1748084027332666E-25,1.51638854036625E-12,4.53097313872127E-10,8.631658165205976E-8,1.0325820030455696E-8,5.523860270639876E-13,3.597150558524622E-11,1.6337484822647059E-9,3.0934041966206374E-8,7.801245711828599E-13,1.0039170262273068E-9,8.582369533391768E-7,-3.003137947583869E-9,-1.540299423353028E-12,-1.5703060082617262E-9,-8.973051852110073E-7,-1.7236127052599787E-9,-1.107095169934531E-12,-2.3010438339179514E-9,4.003828136497918E-8,8.321080294984105E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binary Obfuscation (branch function, high overhead);nr_dst_oper_static;7.267326107307568E-16,-1.8471074587742872E-13,-1.3276806968780677E-10,-7.499916478847677E-9,-6.2827366140687105E-9,4.527007896843719E-21,1.5838285744050046E-20,3.3596781629782446E-22,2.459005413811562E-25,8.577644370657559E-13,2.559449543135688E-10,4.874774630399953E-8,1.7054005519508315E-8,3.119006551875924E-13,2.029652537719948E-11,9.217636761361362E-10,1.747084372961602E-8,4.513602568707988E-13,5.73182580608011E-10,4.87369470291571E-7,-6.208730998983193E-9,-8.55669508861801E-13,-8.767484269463227E-10,-5.014049246710242E-7,-5.034013986977598E-9,-5.885634397541573E-13,-1.2295617946143803E-9,1.2314162895966922E-7,1.8947913087301562E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Stack Checks;nr_indirect_edges_CFIM_static;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Stack Checks;nr_ins_static;-2.6327957959106386E-16,8.938092090625114E-14,6.39334117242281E-11,8.055165778700964E-9,-5.451182071572946E-9,8.685983757116396E-22,-1.5219549108981273E-21,1.2658699522584149E-23,-1.7095682052710098E-26,-3.39190982848488E-13,-1.0174582977601212E-10,-1.9385269917071568E-8,1.8311428406241927E-8,-1.2421366284936186E-13,-8.104747064308158E-12,-3.6803217481415763E-10,-6.928295404344444E-9,-1.6275763166736073E-13,-2.1843259762702194E-10,-1.898269662388083E-7,-5.4819868392858495E-9,3.628518167854439E-13,3.6469177665886363E-10,2.0787662160896836E-7,-4.990772215092941E-9,2.917140423664854E-13,5.985301836401377E-10,1.0706779117307334E-7,1.7340298804433216E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Call Stack Checks;nr_src_oper_static;-1.22322790429506E-15,3.532324493405439E-13,2.570574600678464E-10,2.3888191193075165E-8,-5.990295363802849E-9,-1.4200356488046789E-21,-2.0501272117792953E-20,4.2145895668136163E-22,3.4322774997572564E-25,-1.505185641037971E-12,-4.502505985134683E-10,-8.577157056040979E-8,2.1156921126868396E-8,-5.491488500168074E-13,-3.5781309418846785E-11,-1.6249419598762257E-9,-3.0703431137460565E-8,-7.588918425445283E-13,-9.884511563108283E-10,-8.490914510175807E-7,-5.459990142558306E-9,1.5531093732521347E-12,1.5763671017901147E-9,9.000689026369274E-7,-5.545117025490889E-9,1.157069347363183E-12,2.394189319329898E-9,1.122619502091316E-7,1.844418873028078E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
